Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code
373007,2,1/8/2016,1/14/2016,351747,0,1455,5,CAD
373007,3,1/8/2016,1/14/2016,351747,0,1902,2,CAD
373009,1,1/8/2016,1/19/2016,1064519,0,1589,4,GBP
374012,1,1/9/2016,1/20/2016,1758208,0,1280,1,USD
374012,2,1/9/2016,1/20/2016,1758208,0,1276,1,USD
374012,3,1/9/2016,1/20/2016,1758208,0,2454,5,USD
374012,4,1/9/2016,1/20/2016,1758208,0,2108,1,USD
375000,1,1/10/2016,1/18/2016,1084570,0,1636,1,GBP
375000,2,1/10/2016,1/18/2016,1084570,0,88,7,GBP
375000,3,1/10/2016,1/18/2016,1084570,0,2515,1,GBP
377006,1,1/12/2016,1/20/2016,934781,0,1432,1,GBP
377006,2,1/12/2016,1/20/2016,934781,0,1580,1,GBP
377006,3,1/12/2016,1/20/2016,934781,0,1462,1,GBP
377006,4,1/12/2016,1/20/2016,934781,0,1936,1,GBP
377006,5,1/12/2016,1/20/2016,934781,0,1007,1,GBP
377006,6,1/12/2016,1/20/2016,934781,0,320,1,GBP
379002,1,1/14/2016,1/24/2016,716015,0,106,2,EUR
379002,2,1/14/2016,1/24/2016,716015,0,386,2,EUR
379002,3,1/14/2016,1/24/2016,716015,0,1654,3,EUR
379004,1,1/14/2016,1/27/2016,245912,0,321,2,CAD
381002,1,1/16/2016,1/26/2016,2042097,0,1283,1,USD
381002,2,1/16/2016,1/26/2016,2042097,0,1345,1,USD
381002,3,1/16/2016,1/26/2016,2042097,0,2510,2,USD
381012,1,1/16/2016,1/23/2016,2072376,0,1759,2,USD
381012,2,1/16/2016,1/23/2016,2072376,0,1684,7,USD
381013,1,1/16/2016,1/21/2016,1984685,0,1583,1,USD
381013,2,1/16/2016,1/21/2016,1984685,0,584,8,USD
384004,1,1/19/2016,1/28/2016,1316297,0,1150,2,USD
384004,2,1/19/2016,1/28/2016,1316297,0,1578,6,USD
385000,1,1/20/2016,1/25/2016,1110691,0,1586,8,GBP
385000,2,1/20/2016,1/25/2016,1110691,0,1427,5,GBP
385000,3,1/20/2016,1/25/2016,1110691,0,166,3,GBP
386001,1,1/21/2016,1/30/2016,1912666,0,1996,2,USD
386001,2,1/21/2016,1/30/2016,1912666,0,1577,1,USD
386005,1,1/21/2016,2/2/2016,345812,0,1600,1,CAD
386005,2,1/21/2016,2/2/2016,345812,0,237,1,CAD
386011,1,1/21/2016,1/28/2016,541598,0,54,6,EUR
386011,2,1/21/2016,1/28/2016,541598,0,101,2,EUR
386011,3,1/21/2016,1/28/2016,541598,0,461,3,EUR
387000,1,1/22/2016,1/26/2016,224434,0,1729,2,CAD
387000,2,1/22/2016,1/26/2016,224434,0,1599,3,CAD
387000,3,1/22/2016,1/26/2016,224434,0,1622,1,CAD
387000,4,1/22/2016,1/26/2016,224434,0,55,6,CAD
388001,1,1/23/2016,1/27/2016,1730210,0,1616,1,USD
388004,1,1/23/2016,1/31/2016,776431,0,2104,1,EUR
388004,2,1/23/2016,1/31/2016,776431,0,618,3,EUR
388013,1,1/23/2016,1/30/2016,1559552,0,1657,1,USD
390002,1,1/25/2016,2/6/2016,2029518,0,537,3,USD
390002,2,1/25/2016,2/6/2016,2029518,0,1636,2,USD
390002,3,1/25/2016,2/6/2016,2029518,0,1581,1,USD
390002,4,1/25/2016,2/6/2016,2029518,0,1792,2,USD
390002,5,1/25/2016,2/6/2016,2029518,0,458,1,USD
391001,1,1/26/2016,2/2/2016,361945,0,1841,1,CAD
392003,1,1/27/2016,2/4/2016,1471397,0,156,8,USD
392004,1,1/27/2016,2/1/2016,401785,0,2118,3,EUR
392004,2,1/27/2016,2/1/2016,401785,0,1441,2,EUR
392004,3,1/27/2016,2/1/2016,401785,0,1449,2,EUR
392004,4,1/27/2016,2/1/2016,401785,0,1698,1,EUR
392004,5,1/27/2016,2/1/2016,401785,0,2006,1,EUR
393004,1,1/28/2016,2/9/2016,2007813,0,415,3,USD
393004,2,1/28/2016,2/9/2016,2007813,0,1629,1,USD
393010,1,1/28/2016,2/6/2016,313968,0,1616,7,CAD
393010,2,1/28/2016,2/6/2016,313968,0,1477,2,CAD
394000,1,1/29/2016,2/9/2016,1736019,0,979,1,USD
394000,2,1/29/2016,2/9/2016,1736019,0,113,4,USD
397002,1,2/1/2016,2/9/2016,1348253,0,1607,2,USD
397002,2,2/1/2016,2/9/2016,1348253,0,97,2,USD
397002,3,2/1/2016,2/9/2016,1348253,0,2012,2,USD
397004,1,2/1/2016,2/10/2016,1866421,0,123,2,USD
397004,2,2/1/2016,2/10/2016,1866421,0,625,1,USD
397004,3,2/1/2016,2/10/2016,1866421,0,1641,4,USD
399004,1,2/3/2016,2/11/2016,822698,0,1058,3,EUR
400006,1,2/4/2016,2/10/2016,1996959,0,1284,3,USD
400010,1,2/4/2016,2/10/2016,606808,0,1746,8,EUR
400010,2,2/4/2016,2/10/2016,606808,0,1664,3,EUR
400010,3,2/4/2016,2/10/2016,606808,0,965,3,EUR
402010,1,2/6/2016,2/13/2016,1653624,0,974,3,USD
404005,1,2/8/2016,2/16/2016,295597,0,491,1,CAD
404005,2,2/8/2016,2/16/2016,295597,0,1456,5,CAD
405005,1,2/9/2016,2/15/2016,39894,0,1608,8,AUD
406001,1,2/10/2016,2/15/2016,1610147,0,1684,5,USD
406001,2,2/10/2016,2/15/2016,1610147,0,100,2,USD
406001,3,2/10/2016,2/15/2016,1610147,0,1500,3,USD
406001,4,2/10/2016,2/15/2016,1610147,0,430,3,USD
406001,5,2/10/2016,2/15/2016,1610147,0,2099,1,USD
406001,6,2/10/2016,2/15/2016,1610147,0,450,1,USD
406001,7,2/10/2016,2/15/2016,1610147,0,452,2,USD
406007,1,2/10/2016,2/20/2016,1451764,0,1602,2,USD
407002,1,2/11/2016,2/16/2016,1342915,0,1092,8,USD
407010,1,2/11/2016,2/14/2016,1380756,0,1580,1,USD
407010,2,2/11/2016,2/14/2016,1380756,0,2083,6,USD
407010,3,2/11/2016,2/14/2016,1380756,0,1693,2,USD
409001,1,2/13/2016,2/17/2016,1856221,0,2094,2,USD
409001,2,2/13/2016,2/17/2016,1856221,0,161,7,USD
409001,3,2/13/2016,2/17/2016,1856221,0,1598,3,USD
409001,4,2/13/2016,2/17/2016,1856221,0,2109,3,USD
409020,1,2/13/2016,2/24/2016,250944,0,1977,1,CAD
409021,1,2/13/2016,2/22/2016,730203,0,1642,1,EUR
409022,1,2/13/2016,2/25/2016,944448,0,1850,4,GBP
411002,1,2/15/2016,2/25/2016,1965605,0,1616,4,USD
412002,1,2/16/2016,2/21/2016,1845084,0,191,4,USD
412005,1,2/16/2016,2/21/2016,1838833,0,1271,1,USD
412005,2,2/16/2016,2/21/2016,1838833,0,2102,7,USD
412005,3,2/16/2016,2/21/2016,1838833,0,740,1,USD
412005,4,2/16/2016,2/21/2016,1838833,0,1098,1,USD
413011,1,2/17/2016,2/26/2016,246888,0,1637,5,CAD
413011,2,2/17/2016,2/26/2016,246888,0,1636,1,CAD
413011,3,2/17/2016,2/26/2016,246888,0,1586,7,CAD
414015,1,2/18/2016,2/25/2016,1849306,0,2250,2,USD
414016,1,2/18/2016,2/28/2016,574956,0,1816,1,EUR
414016,2,2/18/2016,2/28/2016,574956,0,1672,4,EUR
415012,1,2/19/2016,2/27/2016,390781,0,1991,1,CAD
415012,2,2/19/2016,2/27/2016,390781,0,733,3,CAD
415012,3,2/19/2016,2/27/2016,390781,0,429,2,CAD
415012,4,2/19/2016,2/27/2016,390781,0,1637,1,CAD
415016,1,2/19/2016,3/1/2016,38613,0,1766,1,AUD
415016,2,2/19/2016,3/1/2016,38613,0,1640,3,AUD
416000,1,2/20/2016,2/27/2016,1566584,0,960,1,USD
416000,2,2/20/2016,2/27/2016,1566584,0,293,1,USD
416001,1,2/20/2016,2/26/2016,1076623,0,438,3,GBP
416001,2,2/20/2016,2/26/2016,1076623,0,1772,2,GBP
416007,1,2/20/2016,3/1/2016,413117,0,182,3,EUR
416007,2,2/20/2016,3/1/2016,413117,0,419,8,EUR
416009,1,2/20/2016,2/28/2016,1202046,0,2143,2,USD
416009,2,2/20/2016,2/28/2016,1202046,0,2038,5,USD
416009,3,2/20/2016,2/28/2016,1202046,0,65,1,USD
416012,1,2/20/2016,3/3/2016,446470,0,2152,2,EUR
416015,1,2/20/2016,2/29/2016,723572,0,296,1,EUR
416015,2,2/20/2016,2/29/2016,723572,0,424,7,EUR
416015,3,2/20/2016,2/29/2016,723572,0,417,6,EUR
416015,4,2/20/2016,2/29/2016,723572,0,146,2,EUR
416024,1,2/20/2016,3/2/2016,1382226,0,610,4,USD
418001,1,2/22/2016,3/3/2016,990554,0,419,3,GBP
418001,2,2/22/2016,3/3/2016,990554,0,1992,1,GBP
418001,3,2/22/2016,3/3/2016,990554,0,1699,3,GBP
418002,1,2/22/2016,3/1/2016,2013268,0,460,1,USD
418002,2,2/22/2016,3/1/2016,2013268,0,1776,3,USD
418002,3,2/22/2016,3/1/2016,2013268,0,1801,1,USD
418007,1,2/22/2016,2/28/2016,724370,0,2104,1,EUR
418007,2,2/22/2016,2/28/2016,724370,0,2216,4,EUR
418009,1,2/22/2016,2/29/2016,1846024,0,1168,4,USD
418012,1,2/22/2016,2/26/2016,996031,0,1594,8,GBP
418012,2,2/22/2016,2/26/2016,996031,0,1122,3,GBP
419004,1,2/23/2016,2/26/2016,946857,0,429,1,GBP
419004,2,2/23/2016,2/26/2016,946857,0,1509,4,GBP
419004,3,2/23/2016,2/26/2016,946857,0,100,1,GBP
419005,1,2/23/2016,3/2/2016,1128295,0,1644,6,GBP
420003,1,2/24/2016,3/3/2016,424546,0,1188,3,EUR
420003,2,2/24/2016,3/3/2016,424546,0,94,7,EUR
420003,3,2/24/2016,3/3/2016,424546,0,1084,3,EUR
420003,4,2/24/2016,3/3/2016,424546,0,47,2,EUR
420003,5,2/24/2016,3/3/2016,424546,0,538,1,EUR
420003,6,2/24/2016,3/3/2016,424546,0,423,7,EUR
420003,7,2/24/2016,3/3/2016,424546,0,1737,4,EUR
420012,1,2/24/2016,3/2/2016,2037919,0,2091,1,USD
421008,1,2/25/2016,3/3/2016,217102,0,1806,8,CAD
421008,2,2/25/2016,3/3/2016,217102,0,77,1,CAD
421014,1,2/25/2016,3/1/2016,1319610,0,1291,1,USD
421014,2,2/25/2016,3/1/2016,1319610,0,69,2,USD
421014,3,2/25/2016,3/1/2016,1319610,0,28,7,USD
423003,1,2/27/2016,3/15/2016,1969221,0,85,1,USD
423003,2,2/27/2016,3/15/2016,1969221,0,1990,6,USD
423003,3,2/27/2016,3/15/2016,1969221,0,130,2,USD
423003,4,2/27/2016,3/15/2016,1969221,0,1085,1,USD
423003,5,2/27/2016,3/15/2016,1969221,0,1630,2,USD
423009,1,2/27/2016,3/3/2016,1346611,0,1164,2,USD
423013,1,2/27/2016,3/10/2016,206717,0,2112,2,CAD
423014,1,2/27/2016,3/4/2016,1910016,0,1428,2,USD
423015,1,2/27/2016,3/1/2016,2031187,0,1648,2,USD
424000,1,2/28/2016,3/5/2016,1668458,0,2010,5,USD
424000,2,2/28/2016,3/5/2016,1668458,0,2114,1,USD
425000,1,2/29/2016,3/15/2016,1657885,0,1311,2,USD
425000,2,2/29/2016,3/15/2016,1657885,0,1591,2,USD
425000,3,2/29/2016,3/15/2016,1657885,0,309,3,USD
425000,4,2/29/2016,3/15/2016,1657885,0,1449,1,USD
425001,1,2/29/2016,3/10/2016,510088,0,189,1,EUR
426001,1,3/1/2016,3/10/2016,1178236,0,35,6,GBP
426004,1,3/1/2016,3/7/2016,1500391,0,144,3,USD
426007,1,3/1/2016,3/10/2016,1680645,0,447,2,USD
429006,1,3/4/2016,3/17/2016,1049326,0,28,2,GBP
429006,3,3/4/2016,3/17/2016,1049326,0,2198,3,GBP
430003,1,3/5/2016,3/11/2016,1478631,0,2014,2,USD
430003,2,3/5/2016,3/11/2016,1478631,0,104,1,USD
430003,3,3/5/2016,3/11/2016,1478631,0,1914,3,USD
430005,1,3/5/2016,3/13/2016,1745076,0,639,2,USD
430013,1,3/5/2016,3/10/2016,1236256,0,2059,8,USD
432003,1,3/7/2016,3/14/2016,1729878,0,1647,1,USD
432003,2,3/7/2016,3/14/2016,1729878,0,2143,4,USD
433004,1,3/8/2016,3/20/2016,1299894,0,424,2,USD
433004,2,3/8/2016,3/20/2016,1299894,0,1628,1,USD
434001,1,3/9/2016,3/11/2016,1492176,0,335,1,USD
434010,1,3/9/2016,3/18/2016,963780,0,1580,3,GBP
434010,2,3/9/2016,3/18/2016,963780,0,149,4,GBP
435003,1,3/10/2016,3/18/2016,1324742,0,1761,2,USD
435003,2,3/10/2016,3/18/2016,1324742,0,1006,2,USD
435003,3,3/10/2016,3/18/2016,1324742,0,1642,5,USD
435005,1,3/10/2016,3/17/2016,1713539,0,222,2,USD
437002,1,3/12/2016,3/21/2016,920138,0,2510,1,GBP
437002,2,3/12/2016,3/21/2016,920138,0,119,1,GBP
437002,3,3/12/2016,3/21/2016,920138,0,1140,1,GBP
437002,4,3/12/2016,3/21/2016,920138,0,1614,1,GBP
437002,5,3/12/2016,3/21/2016,920138,0,534,2,GBP
442000,1,3/17/2016,3/22/2016,1003048,0,444,5,GBP
484002,1,4/28/2016,5/8/2016,1891647,0,184,9,USD
484002,2,4/28/2016,5/8/2016,1891647,0,2415,7,USD
484008,1,4/28/2016,5/1/2016,1430718,0,119,1,USD
484008,2,4/28/2016,5/1/2016,1430718,0,1080,3,USD
484008,3,4/28/2016,5/1/2016,1430718,0,2299,2,USD
486000,1,4/30/2016,5/8/2016,1349711,0,143,1,USD
486000,2,4/30/2016,5/8/2016,1349711,0,2086,5,USD
486001,1,4/30/2016,5/8/2016,1539575,0,1077,10,USD
486001,2,4/30/2016,5/8/2016,1539575,0,1259,1,USD
486001,3,4/30/2016,5/8/2016,1539575,0,1185,1,USD
486010,1,4/30/2016,5/4/2016,2037292,0,1924,4,USD
490009,1,5/4/2016,5/9/2016,121958,0,1585,4,AUD
490009,2,5/4/2016,5/9/2016,121958,0,1600,1,AUD
491003,1,5/5/2016,5/15/2016,1888089,0,86,2,USD
491003,2,5/5/2016,5/15/2016,1888089,0,731,6,USD
491003,3,5/5/2016,5/15/2016,1888089,0,135,2,USD
491003,4,5/5/2016,5/15/2016,1888089,0,1424,3,USD
491003,5,5/5/2016,5/15/2016,1888089,0,1409,3,USD
491003,6,5/5/2016,5/15/2016,1888089,0,1210,2,USD
491003,7,5/5/2016,5/15/2016,1888089,0,1607,5,USD
493001,1,5/7/2016,5/14/2016,453993,0,1594,2,EUR
493001,2,5/7/2016,5/14/2016,453993,0,2499,1,EUR
493001,3,5/7/2016,5/14/2016,453993,0,1,1,EUR
497008,1,5/11/2016,5/20/2016,1645532,0,124,6,USD
497008,2,5/11/2016,5/20/2016,1645532,0,549,6,USD
497008,3,5/11/2016,5/20/2016,1645532,0,450,3,USD
497008,4,5/11/2016,5/20/2016,1645532,0,1419,7,USD
497008,5,5/11/2016,5/20/2016,1645532,0,449,1,USD
497008,6,5/11/2016,5/20/2016,1645532,0,1618,1,USD
497009,1,5/11/2016,5/19/2016,215878,0,2090,1,CAD
497009,2,5/11/2016,5/19/2016,215878,0,1683,7,CAD
497009,3,5/11/2016,5/19/2016,215878,0,1222,2,CAD
497009,4,5/11/2016,5/19/2016,215878,0,469,1,CAD
497009,5,5/11/2016,5/19/2016,215878,0,80,2,CAD
498002,1,5/12/2016,5/18/2016,1931525,0,1612,8,USD
498008,1,5/12/2016,5/18/2016,285999,0,47,1,CAD
498008,2,5/12/2016,5/18/2016,285999,0,367,1,CAD
498008,3,5/12/2016,5/18/2016,285999,0,2100,2,CAD
498008,4,5/12/2016,5/18/2016,285999,0,1634,3,CAD
498010,1,5/12/2016,5/18/2016,1896531,0,180,7,USD
498010,2,5/12/2016,5/18/2016,1896531,0,1604,2,USD
498011,1,5/12/2016,5/19/2016,761955,0,1637,1,EUR
500007,1,5/14/2016,5/23/2016,2018421,0,1622,1,USD
500007,2,5/14/2016,5/23/2016,2018421,0,1427,8,USD
500007,3,5/14/2016,5/23/2016,2018421,0,158,3,USD
500009,1,5/14/2016,5/28/2016,1351590,0,176,8,USD
500012,1,5/14/2016,5/16/2016,53920,0,2104,1,AUD
500012,2,5/14/2016,5/16/2016,53920,0,1672,8,AUD
500012,3,5/14/2016,5/16/2016,53920,0,1596,3,AUD
503003,1,5/17/2016,5/29/2016,1855347,0,2043,7,USD
503003,2,5/17/2016,5/29/2016,1855347,0,1624,1,USD
506000,1,5/20/2016,5/29/2016,1750248,0,75,1,USD
506002,1,5/20/2016,5/25/2016,918835,0,1599,6,GBP
506005,1,5/20/2016,5/27/2016,997457,0,403,5,GBP
506005,2,5/20/2016,5/27/2016,997457,0,1486,4,GBP
506007,1,5/20/2016,5/25/2016,1790366,0,2457,3,USD
507001,1,5/21/2016,6/1/2016,286857,0,100,1,CAD
507001,3,5/21/2016,6/1/2016,286857,0,1239,3,CAD
507003,1,5/21/2016,6/1/2016,524697,0,1549,4,EUR
509000,1,5/23/2016,6/1/2016,1697895,0,189,4,USD
510000,1,5/24/2016,5/31/2016,627709,0,2247,1,EUR
511005,1,5/25/2016,6/5/2016,1240904,0,105,9,USD
511005,2,5/25/2016,6/5/2016,1240904,0,452,1,USD
511005,3,5/25/2016,6/5/2016,1240904,0,1681,2,USD
511005,4,5/25/2016,6/5/2016,1240904,0,277,7,USD
511005,5,5/25/2016,6/5/2016,1240904,0,1667,7,USD
512000,1,5/26/2016,6/1/2016,539789,0,107,1,EUR
512000,2,5/26/2016,6/1/2016,539789,0,1657,8,EUR
514006,1,5/28/2016,6/2/2016,608957,0,604,1,EUR
514006,2,5/28/2016,6/2/2016,608957,0,136,2,EUR
514006,3,5/28/2016,6/2/2016,608957,0,1658,7,EUR
514006,4,5/28/2016,6/2/2016,608957,0,1702,1,EUR
514011,1,5/28/2016,6/4/2016,1531024,0,1704,2,USD
514011,2,5/28/2016,6/4/2016,1531024,0,456,3,USD
514013,1,5/28/2016,6/7/2016,1052960,0,507,1,GBP
518000,1,6/1/2016,6/8/2016,1275496,0,1577,3,USD
518000,2,6/1/2016,6/8/2016,1275496,0,66,5,USD
518008,1,6/1/2016,6/9/2016,1292543,0,434,1,USD
518008,2,6/1/2016,6/9/2016,1292543,0,46,2,USD
518010,1,6/1/2016,6/8/2016,1199531,0,1464,1,GBP
518010,2,6/1/2016,6/8/2016,1199531,0,1362,1,GBP
518010,3,6/1/2016,6/8/2016,1199531,0,1422,1,GBP
518010,4,6/1/2016,6/8/2016,1199531,0,1669,8,GBP
518010,5,6/1/2016,6/8/2016,1199531,0,1660,2,GBP
518010,6,6/1/2016,6/8/2016,1199531,0,1643,2,GBP
519004,1,6/2/2016,6/7/2016,496095,0,154,9,EUR
519004,2,6/2/2016,6/7/2016,496095,0,1438,2,EUR
519004,3,6/2/2016,6/7/2016,496095,0,951,9,EUR
520004,1,6/3/2016,6/10/2016,1742438,0,1810,8,USD
520004,2,6/3/2016,6/10/2016,1742438,0,2088,3,USD
520004,3,6/3/2016,6/10/2016,1742438,0,496,3,USD
520004,4,6/3/2016,6/10/2016,1742438,0,1909,1,USD
520005,1,6/3/2016,6/11/2016,1677457,0,2250,2,USD
520005,2,6/3/2016,6/11/2016,1677457,0,61,3,USD
520005,3,6/3/2016,6/11/2016,1677457,0,1003,2,USD
520005,4,6/3/2016,6/11/2016,1677457,0,1149,1,USD
521002,1,6/4/2016,6/10/2016,556707,0,39,3,EUR
521002,3,6/4/2016,6/10/2016,556707,0,686,3,EUR
521002,4,6/4/2016,6/10/2016,556707,0,1484,6,EUR
521005,1,6/4/2016,6/9/2016,576875,0,38,1,EUR
521006,1,6/4/2016,6/16/2016,259651,0,100,10,CAD
521006,2,6/4/2016,6/16/2016,259651,0,2496,3,CAD
521006,3,6/4/2016,6/16/2016,259651,0,313,3,CAD
521006,4,6/4/2016,6/16/2016,259651,0,1607,1,CAD
523005,1,6/6/2016,6/16/2016,1227963,0,1466,2,USD
524000,1,6/7/2016,6/15/2016,1718597,0,2502,5,USD
524000,2,6/7/2016,6/15/2016,1718597,0,1573,2,USD
524000,3,6/7/2016,6/15/2016,1718597,0,1311,8,USD
526004,1,6/9/2016,6/18/2016,875439,0,1128,4,EUR
526008,1,6/9/2016,6/24/2016,351879,0,384,6,CAD
526011,1,6/9/2016,6/14/2016,793867,0,431,2,EUR
526011,2,6/9/2016,6/14/2016,793867,0,1162,1,EUR
526011,3,6/9/2016,6/14/2016,793867,0,166,1,EUR
526012,1,6/9/2016,6/14/2016,848374,0,73,3,EUR
526012,2,6/9/2016,6/14/2016,848374,0,1478,2,EUR
528000,1,6/11/2016,6/19/2016,370811,0,2493,1,CAD
528000,2,6/11/2016,6/19/2016,370811,0,358,3,CAD
531003,1,6/14/2016,6/26/2016,1383884,0,2495,8,USD
531003,2,6/14/2016,6/26/2016,1383884,0,90,10,USD
531003,3,6/14/2016,6/26/2016,1383884,0,1611,2,USD
531004,1,6/14/2016,6/21/2016,18493,0,1369,8,AUD
531007,1,6/14/2016,6/23/2016,817271,0,1690,6,EUR
531007,2,6/14/2016,6/23/2016,817271,0,60,1,EUR
531007,3,6/14/2016,6/23/2016,817271,0,576,5,EUR
531007,4,6/14/2016,6/23/2016,817271,0,418,4,EUR
531008,1,6/14/2016,6/17/2016,21575,0,244,1,AUD
533004,1,6/16/2016,6/27/2016,39246,0,1238,3,AUD
533004,2,6/16/2016,6/27/2016,39246,0,2176,1,AUD
533010,1,6/16/2016,6/21/2016,1483567,0,56,1,USD
533010,2,6/16/2016,6/21/2016,1483567,0,1658,5,USD
533010,3,6/16/2016,6/21/2016,1483567,0,1620,5,USD
534003,1,6/17/2016,6/24/2016,1680728,0,2489,3,USD
534003,2,6/17/2016,6/24/2016,1680728,0,834,3,USD
534003,3,6/17/2016,6/24/2016,1680728,0,1635,8,USD
535006,1,6/18/2016,6/23/2016,1139101,0,1578,3,GBP
535006,2,6/18/2016,6/23/2016,1139101,0,117,4,GBP
535007,1,6/18/2016,6/22/2016,1463715,0,434,2,USD
535007,2,6/18/2016,6/22/2016,1463715,0,2164,1,USD
535013,1,6/18/2016,6/24/2016,2032613,0,1450,10,USD
535013,2,6/18/2016,6/24/2016,2032613,0,71,1,USD
537000,1,6/20/2016,6/28/2016,1407578,0,1223,1,USD
537000,2,6/20/2016,6/28/2016,1407578,0,269,2,USD
537004,1,6/20/2016,6/29/2016,1240530,0,2440,3,USD
537004,2,6/20/2016,6/29/2016,1240530,0,1251,1,USD
537004,3,6/20/2016,6/29/2016,1240530,0,207,7,USD
539006,1,6/22/2016,7/1/2016,1952663,0,1673,7,USD
539006,2,6/22/2016,7/1/2016,1952663,0,2128,1,USD
540006,1,6/23/2016,6/28/2016,896276,0,671,3,EUR
542000,1,6/25/2016,7/2/2016,1253732,0,804,3,USD
542014,1,6/25/2016,6/30/2016,50681,0,1054,2,AUD
544002,1,6/27/2016,6/29/2016,326086,0,1130,1,CAD
545001,1,6/28/2016,7/1/2016,89721,0,1431,6,AUD
545001,2,6/28/2016,7/1/2016,89721,0,2063,3,AUD
546001,1,6/29/2016,7/4/2016,632575,0,1411,7,EUR
546001,2,6/29/2016,7/4/2016,632575,0,85,4,EUR
546001,3,6/29/2016,7/4/2016,632575,0,107,5,EUR
546003,1,6/29/2016,7/6/2016,918778,0,567,3,GBP
546003,2,6/29/2016,7/6/2016,918778,0,1126,6,GBP
546003,3,6/29/2016,7/6/2016,918778,0,412,2,GBP
546004,1,6/29/2016,7/5/2016,1571311,0,1583,1,USD
546004,2,6/29/2016,7/5/2016,1571311,0,1220,9,USD
546005,1,6/29/2016,7/4/2016,1418109,0,628,1,USD
546005,2,6/29/2016,7/4/2016,1418109,0,78,2,USD
546005,3,6/29/2016,7/4/2016,1418109,0,1583,1,USD
546005,4,6/29/2016,7/4/2016,1418109,0,1620,2,USD
546005,5,6/29/2016,7/4/2016,1418109,0,364,9,USD
546008,1,6/29/2016,7/7/2016,1743133,0,1249,2,USD
546008,2,6/29/2016,7/7/2016,1743133,0,1116,4,USD
546008,3,6/29/2016,7/7/2016,1743133,0,58,1,USD
546008,4,6/29/2016,7/7/2016,1743133,0,1190,2,USD
548002,1,7/1/2016,7/5/2016,1143574,0,1663,4,GBP
548002,2,7/1/2016,7/5/2016,1143574,0,1689,3,GBP
548002,3,7/1/2016,7/5/2016,1143574,0,82,4,GBP
548002,4,7/1/2016,7/5/2016,1143574,0,1729,3,GBP
548002,5,7/1/2016,7/5/2016,1143574,0,1572,5,GBP
548002,6,7/1/2016,7/5/2016,1143574,0,1701,1,GBP
548002,7,7/1/2016,7/5/2016,1143574,0,1619,1,GBP
548004,1,7/1/2016,7/15/2016,1313113,0,1303,7,USD
548004,2,7/1/2016,7/15/2016,1313113,0,1267,9,USD
